source_id,oneshot_model,map_model,category,token_count,score,output_chars,duration_s
82eae29747e859c5,gemma4:latest,gpt-oss:latest,BookSum,3448,0.4,2867,0.7673
7732fbb500ec06a3,gemma4:latest,gpt-oss:latest,BillSum,3628,0.6,3328,0.796
1331bc288059434f,gemma4:latest,gpt-oss:latest,PubMed,3987,0.8,2817,0.6969
90a1b78cc415388d,gemma4:latest,gpt-oss:latest,BillSum,3265,0.6,2784,0.7265
414c6467b7793a14,gemma4:latest,gpt-oss:latest,BookSum,3062,0.6,1605,0.5579
467a66e3a5d1e345,gemma4:latest,gpt-oss:latest,BookSum,3781,0.4,2145,0.7128
76c692a42b95b7b1,gemma4:latest,gpt-oss:latest,BookSum,3647,0.4,2463,0.5
1f1a08b291f9ff92,gemma4:latest,gpt-oss:latest,BookSum,4484,0.4,1561,0.6743
3fee926e3411eb82,gemma4:latest,gpt-oss:latest,BookSum,5463,0.6,2168,0.3453
bb615c74b0b0f8ea,gemma4:latest,gpt-oss:latest,ArXiv,5254,0.4,3446,0.4402
77a98f2d0b4c33d2,gemma4:latest,gpt-oss:latest,BookSum,5332,0.4,2332,0.6031
b05bd40ee63cec42,gemma4:latest,gpt-oss:latest,PubMed,4371,0.8,3064,0.5501
927fdd5d68a13c76,gemma4:latest,gpt-oss:latest,ArXiv,5158,0.8,2833,0.7254
91f9bca1699c6c26,gemma4:latest,gpt-oss:latest,BookSum,4361,0.2,2032,0.6503
a77d7de7a45d464b,gemma4:latest,gpt-oss:latest,PubMed,5323,0.6,2975,0.6703
8ec0931590a4871d,gemma4:latest,gpt-oss:latest,BookSum,5138,0.6,2107,0.6214
b8b9dbaa58b0b2a2,gemma4:latest,gpt-oss:latest,BookSum,4534,0.8,2961,0.6262
781b5bb2afb78c18,gemma4:latest,gpt-oss:latest,GovReport,7117,0.8,3115,0.6918
269c15d175b31c53,gemma4:latest,gpt-oss:latest,ArXiv,6689,0.8,3525,0.6923
